Reporting Area,MMWR Year,MMWR Week,"Dengue virus infections§ , Dengue, Current week","Dengue virus infections§ , Dengue, Current week, flag ","Dengue virus infections§ , Dengue, Previous 52 weeks Max†","Dengue virus infections§ , Dengue, Previous 52 weeks Max†, flag","Dengue virus infections§ , Dengue, Cum 2019†","Dengue virus infections§ , Dengue, Cum 2019†, flag","Dengue virus infections§ , Dengue, Cum 2018†","Dengue virus infections§ , Dengue, Cum 2018†, flag","Dengue virus infections§ s, Dengue-like illness, Current week","Dengue virus infections§ , Dengue-like illness, Current week, flag ","Dengue virus infections§ , Dengue-like illness, Previous 52 weeks Max†","Dengue virus infections§ , Dengue-like illness, Previous 52 weeks Max†, flag","Dengue virus infections§ , Dengue-like illness, Cum 2019†","Dengue virus infections§ , Dengue-like illness, Cum 2019†, flag","Dengue virus infections§ , Dengue-like illness, Cum 2018†","Dengue virus infections§ , Dengue-like illness, Cum 2018†, flag","Dengue virus infections§ , Severe dengue, Current week","Dengue virus infections§ , Severe dengue, Current week, flag","Dengue virus infections§ , Severe dengue, Previous 52 weeks Max†","Dengue virus infections§ , Severe dengue, Previous 52 weeks Max†, flag","Dengue virus infections§ , Severe dengue,  Cum 2019†","Dengue virus infections§ , Severe dengue,  Cum 2019†, flag","Dengue virus infections§ , Severe dengue,  Cum 2018†","Dengue virus infections§ , Severe dengue, Cum 2018†, flag",Location 1,Location 2
OREGON,2019,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
TENNESSEE,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
ALABAMA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
CONNECTICUT,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEW HAMPSHIRE,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARIZONA,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MINNESOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WEST VIRGINIA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
RHODE ISLAND,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
CALIFORNIA,2019,1,,-,7,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
LOUISIANA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
IOWA,2019,1,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
IDAHO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MISSOURI,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
ILLINOIS,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
OKLAHOMA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
HAWAII,2019,1,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UTAH,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEBRASKA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MASSACHUSETTS,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW YORK,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MISSISSIPPI,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MARYLAND,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PENNSYLVANIA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WISCONSIN,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
PUERTO RICO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MICHIGAN,2019,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
VERMONT,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
SOUTH CAROLINA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
TEXAS,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
DELAWARE,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ALASKA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW JERSEY,2019,1,,-,5,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW ENGLAND,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VIRGINIA,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
SOUTH DAKOTA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
KENTUCKY,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NORTH CAROLINA,2019,1,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
GEORGIA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
DISTRICT OF COLUMBIA,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
COLORADO,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
WASHINGTON,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
INDIANA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MAINE,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
OHIO,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
WYOMING,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
FLORIDA,2019,1,,-,8,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MONTANA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
EAST SOUTH CENTRAL,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,
MOUNTAIN,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,
RHODE ISLAND,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
TEXAS,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
EAST NORTH CENTRAL,2019,2,,-,4,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,,
SOUTH DAKOTA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
NEW ENGLAND,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,
ILLINOIS,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
ARKANSAS,2019,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WISCONSIN,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW MEXICO,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ALASKA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MIDDDLE ATLANTIC,2019,2,,-,5,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,,
SOUTH ATLANTIC,2019,2,,-,9,,,-,2,,,-,1,,,-,,-,,-,1,,,-,,-,,
NEW HAMPSHIRE,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
HAWAII,2019,2,,-,2,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
VERMONT,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
IOWA,2019,2,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
WEST SOUTH CENTRAL,2019,2,,-,3,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,,
WEST NORTH CENTRAL,2019,2,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,
US RESIDENTS,2019,2,,-,19,,,-,12,,,-,1,,,-,,-,,-,1,,,-,,-,,
MAINE,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NORTH DAKOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW YORK,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
TENNESSEE,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
KANSAS,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WASHINGTON,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
FLORIDA,2019,2,,-,9,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
UTAH,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
AMERICAN SAMOA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,
GEORGIA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
SOUTH CAROLINA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK CITY,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,
CONNECTICUT,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MONTANA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
PENNSYLVANIA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
PUERTO RICO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
LOUISIANA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OREGON,2019,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
NORTH CAROLINA,2019,2,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,
MINNESOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
COLORADO,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
WYOMING,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEVADA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OKLAHOMA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MISSOURI,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MASSACHUSETTS,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGINIA,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
OHIO,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
INDIANA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
TOTAL,2019,2,,-,19,,,-,12,,,-,1,,,-,,-,,-,1,,,-,,-,,
CALIFORNIA,2019,2,,-,7,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MARYLAND,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WEST VIRGINIA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSISSIPPI,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEBRASKA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
IDAHO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
PACIFIC,2019,2,,-,7,,,-,7,,,-,0,,,-,,-,,-,1,,,-,,-,,
DISTRICT OF COLUMBIA,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
DELAWARE,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MICHIGAN,2019,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW JERSEY,2019,2,,-,5,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
ARIZONA,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
UTAH,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NORTH CAROLINA,2019,3,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGINIA,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VERMONT,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
TOTAL,2019,3,,-,21,,,-,16,,,-,1,,,-,,-,,-,1,,,-,,-,,TOTAL
WISCONSIN,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEVADA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WEST VIRGINIA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OREGON,2019,3,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEW MEXICO,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
WYOMING,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CONNECTICUT,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
AMERICAN SAMOA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
HAWAII,2019,3,,-,2,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ARKANSAS,2019,3,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MINNESOTA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW HAMPSHIRE,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
FLORIDA,2019,3,,-,8,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MIDDDLE ATLANTIC,2019,3,,-,5,,,-,2,,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDDLE ATLANTIC
EAST SOUTH CENTRAL,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
GEORGIA,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
CALIFORNIA,2019,3,,-,7,,,-,5,,,-,0,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
KANSAS,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
SOUTH CAROLINA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
PUERTO RICO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
LOUISIANA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MAINE,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
EAST NORTH CENTRAL,2019,3,,-,4,,,-,3,,,-,1,,,-,,-,,-,1,,,-,,-,,EAST NORTH CENTRAL
ARIZONA,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WEST SOUTH CENTRAL,2019,3,,-,3,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
TEXAS,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
