Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Cryptosporidiosis, Cum 2015","Cryptosporidiosis, Cum 2015, flag","Dengue§, Current week","Dengue§, Current week, flag","Dengue§, Previous 52 weeks Med","Dengue§, Previous 52 weeks Med, flag","Dengue§, Previous 52 weeks Max","Dengue§, Previous 52 weeks Max, flag","Dengue§, Cum 2016","Dengue§, Cum 2016, flag","Dengue§, Cum 2015","Dengue§, Cum 2015, flag","Dengue Severe, Current week","Dengue Severe, Current week, flag","Dengue Severe, Previous 52 weeks Med","Dengue Severe, Previous 52 weeks Med, flag","Dengue Severe, Previous 52 weeks Max","Dengue Severe, Previous 52 weeks Max, flag","Dengue Severe, Cum 2016","Dengue Severe, Cum 2016, flag","Dengue Severe, Cum 2015","Dengue Severe, Cum 2015, flag",Location 1,Location 2
MASSACHUSETTS,2016,39,,-,3,,15,,145,,153,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW HAMPSHIRE,2016,39,,-,1,,5,,33,,30,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CALIFORNIA,2016,39,1,,7,,14,,279,,272,,,-,2,,15,,116,,98,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
GEORGIA,2016,39,11,,6,,24,,261,,268,,,-,0,,2,,16,,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ALASKA,2016,39,,-,0,,2,,6,,4,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
COLORADO,2016,39,,-,0,,7,,1,,94,,,-,0,,2,,10,,5,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ALABAMA,2016,39,2,,4,,27,,223,,209,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2016,39,7,,3,,16,,174,,193,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2016,39,1,,5,,23,,298,,180,,,-,0,,3,,11,,10,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MINNESOTA,2016,39,,-,0,,18,,,-,236,,,-,0,,1,,6,,15,,,-,0,,0,,,-,1,,"MINNESOTA
(46.357661, -94.793397)",
KANSAS,2016,39,,-,2,,8,,76,,150,,,-,0,,1,,4,,3,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
CONNECTICUT,2016,39,,-,1,,3,,23,,62,,,-,0,,2,,3,,3,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2016,39,9,,2,,10,,84,,66,,,-,0,,2,,12,,7,,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MAINE,2016,39,1,,1,,4,,37,,27,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ILLINOIS,2016,39,,-,4,,60,,195,,117,,,-,0,,2,,21,,21,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
SOUTH DAKOTA,2016,39,,-,3,,17,,100,,179,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
INDIANA,2016,39,,-,3,,8,,126,,148,,,-,0,,2,,7,,,-,,-,0,,1,,1,,,-,"INDIANA
(39.76845, -86.156212)",
OHIO,2016,39,122,,8,,207,,1507,,330,,,-,0,,1,,6,,7,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
FLORIDA,2016,39,30,,12,,32,,418,,686,,,-,1,,6,,37,,41,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2016,39,,-,0,,3,,8,,6,,,-,0,,2,,3,,1,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TEXAS,2016,39,26,,11,,34,,460,,495,,,-,1,,3,,30,,20,,,-,0,,0,,,-,2,,"TEXAS
(31.827233, -99.423022)",
NORTH DAKOTA,2016,39,,-,0,,5,,31,,15,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WEST VIRGINIA,2016,39,,-,0,,5,,18,,15,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WYOMING,2016,39,,-,0,,2,,10,,24,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NORTH CAROLINA,2016,39,,-,4,,25,,152,,161,,,-,0,,1,,3,,6,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
VERMONT,2016,39,2,,1,,10,,48,,46,,,-,0,,1,,2,,3,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ARKANSAS,2016,39,1,,1,,8,,56,,50,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2016,39,1,,2,,10,,86,,73,,,-,0,,1,,3,,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW MEXICO,2016,39,,-,1,,6,,50,,43,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
VIRGINIA,2016,39,2,,4,,46,,166,,144,,,-,0,,2,,10,,17,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MISSOURI,2016,39,,-,0,,20,,5,,299,,,-,0,,2,,7,,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MISSISSIPPI,2016,39,,-,1,,3,,30,,28,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2016,39,,-,0,,0,,,-,,-,,-,3,,27,,172,,31,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW JERSEY,2016,39,,-,2,,7,,72,,67,,,-,1,,4,,38,,39,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2016,39,,-,0,,2,,15,,10,,,-,0,,1,,2,,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
SOUTH CAROLINA,2016,39,2,,1,,8,,65,,54,,,-,0,,2,,3,,3,,,-,0,,1,,1,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
RHODE ISLAND,2016,39,,-,0,,2,,11,,19,,,-,0,,1,,2,,3,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MONTANA,2016,39,,-,1,,5,,46,,29,,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW YORK,2016,39,24,,5,,16,,249,,188,,,-,1,,5,,30,,21,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WISCONSIN,2016,39,4,,11,,47,,615,,471,,,-,0,,2,,6,,3,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2016,39,2,,3,,36,,131,,55,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
HAWAII,2016,39,,-,0,,1,,2,,20,,,-,0,,25,,54,,20,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
OREGON,2016,39,2,,6,,11,,213,,142,,,-,0,,2,,6,,3,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
LOUISIANA,2016,39,,-,1,,6,,50,,104,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
UTAH,2016,39,2,,3,,22,,138,,137,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
GUAM,2016,39,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARIZONA,2016,39,3,,1,,85,,449,,51,,,-,0,,4,,13,,9,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
TENNESSEE,2016,39,5,,3,,9,,115,,221,,,-,0,,1,,5,,8,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
IOWA,2016,39,,-,8,,49,,502,,292,,,-,0,,1,,4,,3,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
UNITED STATES,2016,40,155,,149,,627,,8675,,7398,,,-,15,,47,,544,,495,,,-,0,,1,,3,,4,,,
NEW ENGLAND,2016,40,1,,8,,21,,313,,349,,,-,0,,2,,7,,19,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2016,40,25,,14,,51,,795,,641,,,-,3,,9,,98,,127,,,-,0,,0,,,-,1,,,
NEW YORK CITY,2016,40,7,,2,,10,,134,,109,,,-,0,,4,,5,,49,,,-,0,,0,,,-,1,,NEW YORK CITY,
E.N. CENTRAL,2016,40,68,,31,,281,,2844,,1293,,,-,1,,5,,54,,42,,,-,0,,1,,1,,,-,,
DIST. OF COL.,2016,40,,-,0,,0,,,-,,-,,-,0,,1,,2,,8,,,-,0,,1,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2016,40,4,,10,,41,,477,,552,,,-,0,,3,,8,,13,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2016,40,7,,18,,78,,706,,743,,,-,1,,4,,36,,26,,,-,0,,0,,,-,2,,,
MOUNTAIN,2016,40,17,,10,,105,,807,,471,,,-,1,,4,,34,,19,,,-,0,,0,,,-,,-,,
PACIFIC,2016,40,3,,14,,128,,579,,454,,,-,5,,30,,197,,132,,,-,0,,1,,1,,,-,,
AMER. SAMOA,2016,40,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
C.N.M.I.,2016,40,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2016,40,,-,0,,0,,,-,,-,,-,0,,5,,35,,3,,,-,0,,0,,,-,,-,VIRGIN ISL.,
INDIANA,2016,40,,-,3,,8,,126,,151,,,-,0,,2,,7,,,-,,-,0,,1,,1,,,-,"INDIANA
(39.76845, -86.156212)",
ALABAMA,2016,40,,-,4,,27,,230,,218,,,-,0,,1,,2,,3,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NORTH DAKOTA,2016,40,,-,0,,5,,31,,16,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW HAMPSHIRE,2016,40,,-,1,,6,,37,,31,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2016,40,,-,1,,10,,48,,48,,,-,0,,1,,2,,3,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
KANSAS,2016,40,,-,2,,7,,83,,155,,,-,0,,1,,4,,3,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MINNESOTA,2016,40,,-,0,,18,,,-,254,,,-,0,,1,,6,,15,,,-,0,,0,,,-,1,,"MINNESOTA
(46.357661, -94.793397)",
COLORADO,2016,40,,-,0,,6,,1,,95,,,-,0,,2,,12,,5,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
CONNECTICUT,2016,40,,-,1,,3,,23,,63,,,-,0,,2,,3,,3,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ILLINOIS,2016,40,,-,4,,60,,206,,124,,,-,0,,3,,24,,21,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
WASHINGTON,2016,40,,-,0,,110,,68,,,-,,-,0,,3,,14,,8,,,-,0,,1,,1,,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW JERSEY,2016,40,,-,2,,7,,72,,71,,,-,1,,4,,40,,39,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
WISCONSIN,2016,40,7,,11,,47,,640,,490,,,-,0,,2,,6,,4,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MISSISSIPPI,2016,40,,-,1,,3,,30,,28,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
HAWAII,2016,40,,-,0,,1,,2,,21,,,-,0,,25,,53,,21,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WYOMING,2016,40,,-,0,,2,,10,,25,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2016,40,,-,3,,15,,154,,159,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
IDAHO,2016,40,,-,2,,10,,86,,80,,,-,0,,1,,3,,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEVADA,2016,40,,-,0,,3,,8,,6,,,-,0,,2,,3,,1,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ARIZONA,2016,40,17,,1,,85,,468,,51,,,-,0,,4,,13,,10,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
TENNESSEE,2016,40,2,,3,,9,,117,,229,,,-,0,,1,,5,,8,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW MEXICO,2016,40,,-,1,,6,,50,,45,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW YORK,2016,40,6,,5,,25,,255,,193,,,-,1,,5,,32,,22,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ARKANSAS,2016,40,,-,1,,8,,56,,52,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MAINE,2016,40,1,,1,,4,,40,,27,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
SOUTH CAROLINA,2016,40,,-,1,,8,,65,,57,,,-,0,,2,,4,,3,,,-,0,,1,,1,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MARYLAND,2016,40,2,,2,,10,,86,,72,,,-,0,,2,,12,,7,,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PUERTO RICO,2016,40,,-,0,,1,,1,,,-,,-,3,,27,,172,,33,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
KENTUCKY,2016,40,2,,2,,7,,100,,77,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEBRASKA,2016,40,6,,3,,16,,180,,208,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NORTH CAROLINA,2016,40,,-,3,,25,,153,,168,,,-,0,,1,,3,,6,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
LOUISIANA,2016,40,,-,1,,6,,50,,105,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2016,40,,-,1,,5,,46,,30,,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
SOUTH DAKOTA,2016,40,,-,3,,13,,101,,190,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALASKA,2016,40,,-,0,,2,,6,,4,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OREGON,2016,40,1,,6,,11,,214,,148,,,-,0,,2,,6,,3,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
OHIO,2016,40,57,,8,,207,,1565,,342,,,-,0,,1,,6,,7,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
DELAWARE,2016,40,,-,0,,2,,15,,11,,,-,0,,1,,2,,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
VIRGINIA,2016,40,2,,4,,46,,169,,149,,,-,0,,2,,10,,19,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
IOWA,2016,40,1,,9,,52,,538,,302,,,-,0,,1,,4,,3,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
TEXAS,2016,40,,-,11,,34,,462,,529,,,-,1,,3,,32,,21,,,-,0,,0,,,-,2,,"TEXAS
(31.827233, -99.423022)",
GEORGIA,2016,40,6,,6,,24,,273,,279,,,-,0,,2,,16,,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
FLORIDA,2016,40,13,,12,,30,,431,,707,,,-,1,,6,,37,,42,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2016,40,,-,0,,17,,5,,311,,,-,0,,2,,7,,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
GUAM,2016,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MICHIGAN,2016,40,4,,5,,23,,307,,186,,,-,0,,3,,11,,10,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
UTAH,2016,40,,-,3,,22,,138,,139,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
WEST VIRGINIA,2016,40,,-,0,,5,,24,,16,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
PENNSYLVANIA,2016,40,12,,6,,21,,334,,268,,,-,0,,3,,21,,17,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
CALIFORNIA,2016,40,2,,7,,14,,289,,281,,,-,2,,15,,122,,100,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
RHODE ISLAND,2016,40,,-,0,,2,,11,,21,,,-,0,,1,,2,,3,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OKLAHOMA,2016,40,7,,3,,36,,138,,57,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
UNITED STATES,2016,41,180,,149,,637,,9055,,7652,,,-,16,,47,,578,,534,,,-,0,,1,,4,,4,,,
NEW ENGLAND,2016,41,4,,8,,21,,331,,363,,,-,0,,2,,7,,19,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2016,41,22,,14,,57,,863,,656,,,-,3,,9,,117,,130,,,-,0,,0,,,-,1,,,
NEW YORK CITY,2016,41,6,,2,,10,,140,,112,,,-,1,,4,,19,,51,,,-,0,,0,,,-,1,,NEW YORK CITY,
E.N. CENTRAL,2016,41,71,,31,,285,,2953,,1339,,,-,1,,5,,55,,44,,,-,0,,1,,1,,,-,,
W.N. CENTRAL,2016,41,10,,23,,72,,972,,1489,,,-,0,,3,,23,,26,,,-,0,,0,,,-,1,,,
S. ATLANTIC,2016,41,44,,30,,74,,1281,,1518,,,-,3,,9,,94,,96,,,-,0,,1,,1,,,-,,
DIST. OF COL.,2016,41,,-,0,,0,,,-,,-,,-,0,,1,,2,,8,,,-,0,,1,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2016,41,3,,10,,43,,488,,564,,,-,0,,3,,8,,13,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2016,41,11,,18,,78,,736,,778,,,-,1,,4,,36,,26,,,-,0,,0,,,-,2,,,
MOUNTAIN,2016,41,13,,10,,107,,845,,483,,,-,1,,4,,38,,23,,,-,0,,1,,1,,,-,,
PACIFIC,2016,41,2,,14,,128,,586,,462,,,-,5,,30,,199,,157,,,-,0,,1,,1,,,-,,
AMER. SAMOA,2016,41,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
C.N.M.I.,2016,41,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
