Reporting Area,MMWR Year,MMWR Week,"Dengue virus infections, Dengue, Current week","Dengue virus infections, Dengue, Current week, flag","Dengue virus infections, Dengue, Previous 52 weeks Max†","Dengue virus infections, Dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue, Cum 2020†","Dengue virus infections, Dengue, Cum 2020†, flag","Dengue virus infections, Dengue, Cum 2019†","Dengue virus infections, Dengue, Cum 2019†, flag","Dengue virus infections, Dengue-like illness, Current week","Dengue virus infections, Dengue-like illness, Current week, flag","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue-like illness, Cum 2020†","Dengue virus infections, Dengue-like illness, Cum 2020†, flag","Dengue virus infections, Dengue-like illness, Cum 2019†","Dengue virus infections, Dengue-like illness, Cum 2019†, flag","Dengue virus infections, Severe dengue, Current week","Dengue virus infections, Severe dengue, Current week, flag","Dengue virus infections, Severe dengue, Previous 52 weeks Max†","Dengue virus infections, Severe dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Severe dengue,  Cum 2020†","Dengue virus infections, Severe dengue,  Cum 2020†, flag","Dengue virus infections, Severe dengue,  Cum 2019†","Dengue virus infections, Severe dengue, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
MIDDLE ATLANTIC,2020,4,,-,15,,,-,9,,,-,2,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200409,
NEW YORK CITY,2020,4,,-,8,,,-,6,,,-,1,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY,20200412,
PENNSYLVANIA,2020,4,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
INDIANA,2020,4,,-,2,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
MICHIGAN,2020,4,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
OHIO,2020,4,,-,2,,,-,1,,,-,1,,,-,1,,,-,0,,,-,,-,OHIO,,20200418,POINT (-82.70936 40.415534)
WISCONSIN,2020,4,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,4,,-,4,,1,,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200420,
MINNESOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
MISSOURI,2020,4,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200424,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,4,2,,33,,3,,21,,,-,1,,,-,,-,,-,2,,,-,,-,,SOUTH ATLANTIC,20200428,
FLORIDA,2020,4,,-,27,,,-,11,,,-,0,,,-,,-,,-,2,,,-,,-,FLORIDA,,20200431,POINT (-82.420978 28.260731)
GEORGIA,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
MARYLAND,2020,4,1,,2,,1,,3,,,-,1,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,4,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
VIRGINIA,2020,4,,-,4,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,4,,-,3,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
KENTUCKY,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
ARKANSAS,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
LOUISIANA,2020,4,,-,1,,1,,,-,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
OKLAHOMA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
TEXAS,2020,4,,-,5,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,TEXAS,,20200447,POINT (-99.317341 31.447238)
MOUNTAIN,2020,4,,-,5,,1,,2,,,-,2,,,-,,-,,-,1,,,-,,-,,MOUNTAIN,20200448,
ARIZONA,2020,4,,-,2,,1,,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200449,POINT (-111.664616 34.293239)
COLORADO,2020,4,,-,3,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,COLORADO,,20200450,POINT (-105.547832 38.998552)
IDAHO,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,IDAHO,,20200451,POINT (-114.659366 44.389073)
MONTANA,2020,4,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
NEVADA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200453,POINT (-114.916992 39.283294)
NEW MEXICO,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
UTAH,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200455,POINT (-111.678222 39.323779)
WYOMING,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
PACIFIC,2020,4,,-,19,,1,,17,,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200457,
ALASKA,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200458,POINT (-151.631889 63.631126)
CALIFORNIA,2020,4,,-,17,,,-,10,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
HAWAII,2020,4,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200460,POINT (-157.854309 21.361013)
OREGON,2020,4,,-,3,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,OREGON,,20200461,POINT (-120.605279 43.940449)
WASHINGTON,2020,4,,-,2,,1,,5,,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
US TERRITORIES,2020,4,,-,7,,,-,,-,,-,1,,,-,2,,,-,1,,,-,,-,,US TERRITORIES,20200463,
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
NORTHERN MARIANA ISLANDS,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
GUAM,2020,4,,-,6,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
PUERTO RICO,2020,4,,-,4,,,-,,-,,-,1,,,-,2,,,-,1,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
US RESIDENTS,2020,2,,-,65,,,-,26,,,-,3,,,-,,-,,-,4,,,-,,-,,US RESIDENTS,20200201,
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
TOTAL,2020,4,2,,68,,9,,58,,,-,3,,,-,3,,,-,4,,,-,,-,,TOTAL,20200470,
US TERRITORIES,2020,1,,-,7,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,,US TERRITORIES,20200163,
TOTAL,2020,1,,-,67,,,-,10,,,-,3,,,-,1,,,-,4,,,-,,-,,TOTAL,20200170,
WEST SOUTH CENTRAL,2020,1,,-,5,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20200143,
ILLINOIS,2020,1,,-,4,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
KENTUCKY,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
NEW JERSEY,2020,1,,-,7,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2020,1,,-,31,,,-,5,,,-,1,,,-,,-,,-,2,,,-,,-,,SOUTH ATLANTIC,20200128,
NEW MEXICO,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
GEORGIA,2020,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
ALABAMA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200139,POINT (-86.844516 32.756889)
ARIZONA,2020,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200149,POINT (-111.664616 34.293239)
WYOMING,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
MARYLAND,2020,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
WEST VIRGINIA,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
US RESIDENTS,2020,1,,-,65,,,-,10,,,-,3,,,-,,-,,-,4,,,-,,-,,US RESIDENTS,20200101,
NEBRASKA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
CALIFORNIA,2020,1,,-,17,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
CONNECTICUT,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
PENNSYLVANIA,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
KANSAS,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729)
OHIO,2020,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
MASSACHUSETTS,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
NEVADA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200153,POINT (-114.916992 39.283294)
NEW YORK CITY,2020,1,,-,8,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY,20200112,
ALASKA,2020,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
PACIFIC,2020,3,,-,19,,1,,15,,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200357,
VERMONT,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
NEW HAMPSHIRE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
NORTHERN MARIANA ISLANDS,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
MINNESOTA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
VIRGINIA,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
WEST NORTH CENTRAL,2020,1,,-,4,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200120,
RHODE ISLAND,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
NORTH CAROLINA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
MAINE,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20200104,POINT (-69.06137 45.117911)
MIDDLE ATLANTIC,2020,1,,-,15,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200109,
TENNESSEE,2020,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
TEXAS,2020,1,,-,5,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,TEXAS,,20200147,POINT (-99.317341 31.447238)
ARKANSAS,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
IDAHO,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,IDAHO,,20200151,POINT (-114.659366 44.389073)
EAST SOUTH CENTRAL,2020,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200138,
UTAH,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200155,POINT (-111.678222 39.323779)
MOUNTAIN,2020,1,,-,5,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,,MOUNTAIN,20200148,
NEW YORK,2020,1,,-,4,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
LOUISIANA,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
WISCONSIN,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MONTANA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
OREGON,2020,1,,-,3,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
INDIANA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
NEW ENGLAND,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20200102,
OKLAHOMA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
IOWA,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20200121,POINT (-93.500061 42.074659)
PUERTO RICO,2020,1,,-,4,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
COLORADO,2020,1,,-,3,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,COLORADO,,20200150,POINT (-105.547832 38.998552)
EAST NORTH CENTRAL,2020,1,,-,6,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,,EAST NORTH CENTRAL,20200114,
MISSISSIPPI,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
GUAM,2020,1,,-,6,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
NORTH DAKOTA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
MISSOURI,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200124,POINT (-92.477244 38.3675)
HAWAII,2020,1,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200160,POINT (-157.854309 21.361013)
SOUTH CAROLINA,2020,1,,-,2,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
MICHIGAN,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
DELAWARE,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
PACIFIC,2020,1,,-,19,,,-,3,,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200157,
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200164,
WASHINGTON,2020,1,,-,3,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,
FLORIDA,2020,1,,-,27,,,-,2,,,-,0,,,-,,-,,-,2,,,-,,-,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
TOTAL,2020,2,,-,67,,,-,26,,,-,3,,,-,2,,,-,4,,,-,,-,,TOTAL,20200270,
NEW HAMPSHIRE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
NEW YORK,2020,2,,-,4,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
PACIFIC,2020,2,,-,19,,,-,11,,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200257,
WEST SOUTH CENTRAL,2020,2,,-,5,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20200243,
NEBRASKA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,2,,-,2,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200238,
NORTH DAKOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
NEVADA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200253,POINT (-114.916992 39.283294)
ILLINOIS,2020,2,,-,4,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
IOWA,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20200221,POINT (-93.500061 42.074659)
TEXAS,2020,2,,-,5,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,TEXAS,,20200247,POINT (-99.317341 31.447238)
ALASKA,2020,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
WASHINGTON,2020,2,,-,3,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20200202,
RHODE ISLAND,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
OREGON,2020,2,,-,3,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,OREGON,,20200261,POINT (-120.605279 43.940449)
DELAWARE,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
ALABAMA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KANSAS,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
GUAM,2020,2,,-,6,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
NEW JERSEY,2020,2,,-,7,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW MEXICO,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,2,,-,6,,,-,2,,,-,1,,,-,,-,,-,1,,,-,,-,,EAST NORTH CENTRAL,20200214,
TENNESSEE,2020,2,,-,2,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
CONNECTICUT,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MARYLAND,2020,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,2,,-,2,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
OKLAHOMA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
OHIO,2020,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,OHIO,,20200218,POINT (-82.70936 40.415534)
MINNESOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
LOUISIANA,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
HAWAII,2020,2,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,2,,-,33,,,-,5,,,-,1,,,-,,-,,-,2,,,-,,-,,SOUTH ATLANTIC,20200228,
PENNSYLVANIA,2020,2,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
UTAH,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200255,POINT (-111.678222 39.323779)
COLORADO,2020,2,,-,3,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,COLORADO,,20200250,POINT (-105.547832 38.998552)
VERMONT,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
KENTUCKY,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
PUERTO RICO,2020,2,,-,4,,,-,,-,,-,1,,,-,2,,,-,1,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
MAINE,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
VIRGINIA,2020,2,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
ARIZONA,2020,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
WISCONSIN,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
IDAHO,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,IDAHO,,20200251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
MICHIGAN,2020,2,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
GEORGIA,2020,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,2,,-,8,,,-,4,,,-,1,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY,20200212,
ARKANSAS,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
