Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2015","Cryptosporidiosis, Cum 2015, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Dengue§, Current week","Dengue§, Current week, flag","Dengue§, Previous 52 weeks Med","Dengue§, Previous 52 weeks Med, flag","Dengue§, Previous 52 weeks Max","Dengue§, Previous 52 weeks Max, flag","Dengue§, Cum 2015","Dengue§, Cum 2015, flag","Dengue§, Cum 2014","Dengue§, Cum 2014, flag","Dengue Severe, Current week","Dengue Severe, Current week, flag","Dengue Severe, Previous 52 weeks Med","Dengue Severe, Previous 52 weeks Med, flag","Dengue Severe, Previous 52 weeks Max","Dengue Severe, Previous 52 weeks Max, flag","Dengue Severe, Cum 2015","Dengue Severe, Cum 2015, flag","Dengue Severe, Cum 2014","Dengue Severe, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,14,58,,116,,332,,1184,,1261,,,-,11,,37,,49,,105,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2015,14,3,,5,,17,,60,,57,,,-,0,,3,,2,,9,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2015,14,5,,11,,36,,100,,138,,,-,2,,10,,12,,23,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,14,12,,21,,74,,232,,266,,,-,0,,4,,2,,7,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2015,14,,-,14,,39,,115,,151,,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2015,14,22,,31,,151,,308,,290,,,-,2,,7,,12,,29,,,-,0,,0,,,-,,-,,
DIST. OF COL.,2015,14,,-,0,,1,,1,,2,,,-,0,,3,,3,,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2015,14,1,,9,,22,,109,,72,,,-,0,,3,,7,,1,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,14,8,,12,,33,,94,,102,,,-,0,,4,,2,,7,,,-,0,,0,,,-,,-,,
MOUNTAIN,2015,14,3,,8,,23,,66,,86,,,-,0,,22,,,-,8,,,-,0,,0,,,-,,-,,
PACIFIC,2015,14,4,,8,,27,,100,,99,,,-,2,,8,,11,,20,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2015,14,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
WEST VIRGINIA,2015,35,,-,0,,3,,9,,7,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2015,35,1,,4,,13,,129,,164,,,-,0,,1,,2,,1,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MID. ATLANTIC,2015,35,14,,11,,38,,427,,488,,,-,1,,9,,27,,106,,,-,0,,0,,,-,,-,,
GUAM,2015,35,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2015,35,,-,1,,3,,26,,30,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEW JERSEY,2015,35,,-,1,,5,,23,,43,,,-,0,,6,,6,,49,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.121601, -74.321404)",
CALIFORNIA,2015,35,3,,5,,15,,210,,250,,,-,1,,8,,25,,75,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MOUNTAIN,2015,35,3,,9,,23,,337,,316,,,-,0,,22,,2,,16,,,-,0,,0,,,-,,-,,
NEW MEXICO,2015,35,,-,1,,4,,29,,68,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
KENTUCKY,2015,35,,-,2,,6,,57,,50,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
SOUTH CAROLINA,2015,35,3,,1,,5,,43,,53,,,-,0,,1,,2,,2,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH DAKOTA,2015,35,,-,0,,12,,9,,69,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
COLORADO,2015,35,,-,1,,7,,61,,59,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
